Raíz verbal quechua;Raíz verbal español;Persona;Número;Tiempo;Conjugación
puri;caminar;cuarta;plural;pasado no exp. habitual;ñuqayku puriq kasqaniku
tusuy;bailar;primera;singular;presente simple;ñuqa tusuni
tusuy;bailar;segunda;singular;presente simple;qam tusunki
tusuy;bailar;tercera;singular;presente simple;pay tusun
tusuy;bailar;cuarta;singular;presente simple;
tusuy;bailar;primera;plural;presente simple;ñuqanchik tusunchik
tusuy;bailar;segunda;plural;presente simple;qamkuna tusunkichik
tusuy;bailar;tercera;plural;presente simple;paykuna tusunku
tusuy;bailar;cuarta;plural;presente simple;ñuqayku tusuniku
tusuy;bailar;primera;singular;presente progresivo;ñuqa tusuchkani
tusuy;bailar;segunda;singular;presente progresivo;qam tusuchkanki
tusuy;bailar;tercera;singular;presente progresivo;pay tusuchkan
tusuy;bailar;cuarta;singular;presente progresivo;
tusuy;bailar;primera;plural;presente progresivo;ñuqanchik tusuchkanchik
tusuy;bailar;segunda;plural;presente progresivo;qamkuna tusuchkankichik
tusuy;bailar;tercera;plural;presente progresivo;paykuna tusuchkanku
tusuy;bailar;cuarta;plural;presente progresivo;ñuqayku tusuchkaniku
tusuy;bailar;primera;singular;presente habitual;ñuqa tusuq kani
tusuy;bailar;segunda;singular;presente habitual;qam tusuq kanki
tusuy;bailar;tercera;singular;presente habitual;pay tusuq mi
tusuy;bailar;cuarta;singular;presente habitual;
tusuy;bailar;primera;plural;presente habitual;ñuqanchik tusuq kanchik
tusuy;bailar;segunda;plural;presente habitual;qamkuna tusuq kankichik
tusuy;bailar;tercera;plural;presente habitual;paykuna tusuq kanku
tusuy;bailar;cuarta;plural;presente habitual;ñuqayku tusuq kaniku
tusuy;bailar;primera;singular;pasado experimentado simple;ñuqa tusurqani
tusuy;bailar;segunda;singular;pasado experimentado simple;qam tusurqanki
tusuy;bailar;tercera;singular;pasado experimentado simple;pay tusurqan
tusuy;bailar;cuarta;singular;pasado experimentado simple;
tusuy;bailar;primera;plural;pasado experimentado simple;ñuqanchik tusurqanchik
tusuy;bailar;segunda;plural;pasado experimentado simple;qamkuna tusurqankichik
tusuy;bailar;tercera;plural;pasado experimentado simple;paykuna tusurqanku
tusuy;bailar;cuarta;plural;pasado experimentado simple;ñuqayku tusurqaniku
tusuy;bailar;primera;singular;pasado experimentado progresivo;ñuqa tusuchkarqani
tusuy;bailar;segunda;singular;pasado experimentado progresivo;qam tusuchkarqanki
tusuy;bailar;tercera;singular;pasado experimentado progresivo;pay tusuchkarqan
tusuy;bailar;cuarta;singular;pasado experimentado progresivo;
tusuy;bailar;primera;plural;pasado experimentado progresivo;ñuqanchik tusuchkarqanchik
tusuy;bailar;segunda;plural;pasado experimentado progresivo;qamkuna tusuchkarqankichik
tusuy;bailar;tercera;plural;pasado experimentado progresivo;paykuna tusuchkarqanku
tusuy;bailar;cuarta;plural;pasado experimentado progresivo;ñuqayku tusuchkarqaniku
tusuy;bailar;primera;singular;pasado experimentado habitual;ñuqa tusuq karqani
tusuy;bailar;segunda;singular;pasado experimentado habitual;qam tusuq karqanki
tusuy;bailar;tercera;singular;pasado experimentado habitual;pay tusuq karqan
